method,dataset,direction,T,mean_accuracy,std_accuracy,mean_percent,std_percent,trials
stratified_alpha2,description,given_molecule,4,0.9133448873483536,0.003952081196184198,91.33448873483536,0.3952081196184198,"[0.91421143847487, 0.9072790294627383, 0.9107452339688041, 0.915944540727903, 0.9185441941074524]"
stratified_alpha2,description,given_molecule,10,0.8445407279029464,0.0053586221260798214,84.45407279029465,0.5358622126079822,"[0.8535528596187175, 0.8388214904679376, 0.8405545927209706, 0.8422876949740035, 0.8474870017331022]"
stratified_alpha2,description,given_molecule,20,0.7935875216637782,0.0071541654906586705,79.35875216637783,0.715416549065867,"[0.804159445407279, 0.7842287694974004, 0.7920277296360485, 0.7885615251299827, 0.7989601386481803]"
stratified_alpha2,description,given_text,4,0.8993067590987869,0.007401787349761726,89.93067590987869,0.7401787349761726,"[0.889948006932409, 0.8934142114384749, 0.8986135181975736, 0.9107452339688041, 0.9038128249566725]"
stratified_alpha2,description,given_text,10,0.8279029462738301,0.005993627891088577,82.790294627383,0.5993627891088577,"[0.8266897746967071, 0.8266897746967071, 0.8353552859618717, 0.8327556325823223, 0.8180242634315424]"
stratified_alpha2,description,given_text,20,0.7705372616984402,0.005181946754844384,77.05372616984401,0.5181946754844384,"[0.7712305025996534, 0.7764298093587522, 0.7720970537261699, 0.7720970537261699, 0.7608318890814558]"
stratified_alpha2,pharmacodynamics,given_molecule,4,0.8515422885572139,0.005607563304917564,85.15422885572139,0.5607563304917563,"[0.8527363184079602, 0.8487562189054726, 0.8537313432835821, 0.8427860696517413, 0.8597014925373134]"
stratified_alpha2,pharmacodynamics,given_molecule,10,0.7588059701492538,0.0047344785088041085,75.88059701492537,0.47344785088041086,"[0.764179104477612, 0.7512437810945274, 0.7592039800995025, 0.7562189054726368, 0.7631840796019901]"
stratified_alpha2,pharmacodynamics,given_molecule,20,0.6794029850746269,0.009427040224737926,67.9402985074627,0.9427040224737926,"[0.6855721393034826, 0.6776119402985075, 0.6865671641791045, 0.6616915422885572, 0.6855721393034826]"
stratified_alpha2,pharmacodynamics,given_text,4,0.8270646766169154,0.004193295026011057,82.70646766169153,0.4193295026011057,"[0.8288557213930349, 0.8328358208955224, 0.8288557213930349, 0.8208955223880597, 0.8238805970149253]"
stratified_alpha2,pharmacodynamics,given_text,10,0.724776119402985,0.005058015931199545,72.4776119402985,0.5058015931199545,"[0.7323383084577114, 0.7253731343283583, 0.7164179104477612, 0.7243781094527363, 0.7253731343283583]"
stratified_alpha2,pharmacodynamics,given_text,20,0.6507462686567165,0.007525440955697143,65.07462686567165,0.7525440955697144,"[0.6527363184079602, 0.6597014925373135, 0.6368159203980099, 0.6517412935323383, 0.6527363184079602]"
stratified_alpha2,ATC,given_molecule,4,0.7088127702028599,0.007907875728740578,70.88127702028599,0.7907875728740579,"[0.7229797140006651, 0.7076820751579648, 0.7036913867642168, 0.7100099767209843, 0.6997006983704689]"
stratified_alpha2,ATC,given_molecule,10,0.5590289324908546,0.005173378512172967,55.90289324908546,0.5173378512172967,"[0.5520452278017958, 0.5583638177585634, 0.5563684735616894, 0.5676754240106419, 0.560691719321583]"
stratified_alpha2,ATC,given_molecule,20,0.4645826405054872,0.00617876909211498,46.45826405054872,0.6178769092114981,"[0.4529431326903891, 0.46657798470236117, 0.4672430994346525, 0.4712337878284004, 0.4649151978716329]"
stratified_alpha2,ATC,given_text,4,0.6772198204190223,0.002458226619564532,67.72198204190222,0.2458226619564532,"[0.6774193548387096, 0.6734286664449618, 0.6757565680079813, 0.6804123711340206, 0.679082141669438]"
stratified_alpha2,ATC,given_text,10,0.5216494845360824,0.005838631552339161,52.16494845360824,0.5838631552339161,"[0.5231127369471233, 0.5101429996674426, 0.5257731958762887, 0.525440638510143, 0.5237778516794147]"
stratified_alpha2,ATC,given_text,20,0.4237445959428001,0.01021638745456331,42.37445959428001,1.021638745456331,"[0.424675756568008, 0.407050216162288, 0.4386431659461257, 0.42733621549717327, 0.4210176255404057]"
